City_ID,City,Country,Max Temp,City Desc,Lat,Lng,Hotel Name
1,Matara,LK,76.87,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
3,Kirakira,SB,78.49,clear sky,-10.4544,161.9205,SanBiz Lodge
9,Bhum,IN,74.01,overcast clouds,18.4667,75.6667,धनंजय होम
14,Olinda,BR,76.73,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
19,Jevargi,IN,74.64,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
20,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
22,Wanning,CN,77.61,few clouds,18.8003,110.3967,Paradise Hotel
27,Ribeira Brava,PT,78.71,overcast clouds,32.65,-17.0667,Hotel do Campo
28,Mitu,CO,77.67,overcast clouds,1.1983,-70.1733,
34,Faanui,PF,79.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Mattru,SL,73.78,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
37,Renigunta,IN,79.66,overcast clouds,13.65,79.5167,Appanna Rest House
44,Rikitea,PF,73.04,clear sky,-23.1203,-134.9692,People ThankYou
52,Catuday,PH,79.32,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
53,Peniche,PT,70.11,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
56,Lagoa,PT,71.82,overcast clouds,39.05,-27.9833,Casa Das Faias
58,Ponta Do Sol,PT,78.71,overcast clouds,32.6667,-17.1,Hotel do Campo
61,Alofi,NU,76.8,few clouds,-19.0595,-169.9187,Taloa Heights
62,Padang,ID,76.98,moderate rain,-0.9492,100.3543,Mercure Padang
64,Delijan,IR,75.58,clear sky,33.9905,50.6838,ایزوگام آسیاگستر
69,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
71,Arraial Do Cabo,BR,70.99,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,Mitsamiouli,KM,75.69,clear sky,-11.3847,43.2844,Foyer ADM
74,Atuona,PF,76.87,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
80,Qingdao,CN,71.13,few clouds,36.0986,120.3719,Le Meridien Qingdao
81,Karratha,AU,70.5,clear sky,-20.7377,116.8463,ibis Styles Karratha
88,Tarakan,ID,79.79,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
89,Bonthe,SL,76.51,light rain,7.5264,-12.505,Bonthe Holiday Village
90,Langsa,ID,73.71,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
91,Simpang,ID,72.34,overcast clouds,-1.2667,104.0833,
92,Salalah,OM,76.55,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
98,San Quintin,MX,79.3,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
100,Bourail,NC,72.39,clear sky,-21.5667,165.4833,Motel Allamanda
101,Salinas,US,74.01,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
105,Poum,NC,75.4,clear sky,-20.2333,164.0167,
108,Castro,BR,76.73,clear sky,-24.7911,-50.0119,CHACARA BAILLY
109,Benguela,AO,71.51,clear sky,-12.5763,13.4055,Hotel Praia Morena
116,Vaini,TO,74.68,light rain,-21.2,-175.2,Keleti Beach Resort
124,Ponnani,IN,76.32,overcast clouds,10.767,75.9252,Rouba Residency
127,Vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
129,Rabo De Peixe,PT,71.28,moderate rain,37.8,-25.5833,Quinta das Giestas
138,Sorong,ID,76.68,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
139,Tura,IN,73.4,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
142,Kantunilkin,MX,77.02,overcast clouds,21.0917,-87.45,Posada Paraiso
