City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City Desc
0,Hermanus,-34.4187,19.2345,54.81,83,0,13.51,ZA,2022-09-10 19:59:11,clear sky
1,Matara,5.9485,80.5353,76.87,89,84,10.49,LK,2022-09-10 20:01:19,broken clouds
2,Leningradskiy,69.3833,178.4167,37.67,88,69,11.63,RU,2022-09-10 20:01:19,broken clouds
3,Kirakira,-10.4544,161.9205,78.49,85,7,6.98,SB,2022-09-10 20:01:20,clear sky
4,Bethel,41.3712,-73.414,86.81,46,36,1.01,US,2022-09-10 20:01:20,scattered clouds
5,New Norfolk,-42.7826,147.0587,47.91,80,98,1.99,AU,2022-09-10 20:01:21,overcast clouds
6,Barrow,71.2906,-156.7887,35.62,100,100,17.27,US,2022-09-10 20:01:21,mist
7,Mataura,-46.1927,168.8643,37.26,94,9,2.57,NZ,2022-09-10 20:01:21,clear sky
8,Sinnamary,5.3833,-52.95,83.14,69,100,9.66,GF,2022-09-10 20:01:21,overcast clouds
9,Bhum,18.4667,75.6667,74.01,88,100,5.44,IN,2022-09-10 20:01:22,overcast clouds
10,Cape Town,-33.9258,18.4232,57.11,91,75,9.22,ZA,2022-09-10 19:57:04,broken clouds
11,Dir,35.2058,71.8756,67.03,87,39,2.82,PK,2022-09-10 20:01:22,scattered clouds
12,Aksarka,66.5606,67.7975,40.44,85,100,2.19,RU,2022-09-10 20:00:40,overcast clouds
13,Yar-Sale,66.8333,70.8333,40.66,78,100,4.61,RU,2022-09-10 20:01:23,overcast clouds
14,Olinda,-8.0089,-34.8553,76.73,73,100,6.91,BR,2022-09-10 19:59:43,overcast clouds
15,Zhezkazgan,47.8043,67.7144,56.68,43,2,17.2,KZ,2022-09-10 20:01:23,clear sky
16,Odesskoye,54.2111,72.9651,52.09,46,100,9.84,RU,2022-09-10 20:01:23,overcast clouds
17,Airai,-8.9266,125.4092,56.41,75,77,1.81,TL,2022-09-10 20:01:24,broken clouds
18,Ushuaia,-54.8,-68.3,41.63,75,16,4.21,AR,2022-09-10 20:01:24,few clouds
19,Jevargi,17.0167,76.7667,74.64,92,100,14.05,IN,2022-09-10 20:01:24,overcast clouds
20,Ribeira Grande,38.5167,-28.7,73.8,73,75,25.32,PT,2022-09-10 20:01:25,broken clouds
21,Khani,41.9563,42.9566,54.97,72,66,5.28,GE,2022-09-10 20:01:25,broken clouds
22,Wanning,18.8003,110.3967,77.61,83,14,3.13,CN,2022-09-10 20:01:25,few clouds
23,Codrington,-38.2667,141.9667,48.51,87,100,11.45,AU,2022-09-10 20:01:26,overcast clouds
24,San Patricio,28.017,-97.5169,92.16,39,8,7.05,US,2022-09-10 20:01:26,clear sky
25,Saint-Augustin,51.226,-58.6502,63.79,63,0,13.65,CA,2022-09-10 20:01:26,clear sky
26,Bambous Virieux,-20.3428,57.7575,68.22,70,5,12.68,MU,2022-09-10 20:01:27,clear sky
27,Ribeira Brava,32.65,-17.0667,78.71,85,100,5.99,PT,2022-09-10 20:01:27,overcast clouds
